Wister,Rat,F,0.2,0.8,Chang,-2000,,,,,,,
Wister,Rat,(N=10),F,0.3,0.6,de,Souza,-2008,,,,,
Hybrid,Rat,(12,months),(N=5),F,0.3,1.4,Russell,"(1996),",Tasaki,-2009,,
Hybrid,Rat,(32,months),(N=5),F,0.3,1.5,Russell,"(1996),",Tasaki,-2009,,
Adult,Rat,(N=176),M,0.6,1.8,Kunstyvr,"(1982),",Perrin,-2003,,,,
Short,Hair,Cat,(7,weeks),(N=6),F,0.9,2,Root,"(1996),",Sturman,-1985,
Short,Hair,Cat,(7,weeks),(N=6),M,0.9,3.3,Root,"(1996),",Sturman,-1985,
Short,Hair,Cat,(7,months),(N=5),F,2.4,3.2,Root,"(1996),",Scott,-1970,
Short,Hair,Cat,(7,months),(N=5),M,3.5,5.4,Root,"(1996),",Lein,-1983,
Woman,F,74,6,Gray,"(1918),",Ogden,-2004,,,,,,
Man,M,86.1,6,Gray,"(1918),",Ogden,-2004,,,,,,
Man,(71.7,years),(N=32),M,87.1,7.3,Tsujimoto,"(2003),",Ogden,-2004,,,
Miniature,Horse,(N=7),M,102.5,15,Pozor,-2002,,,,,,
Pony,(N=27),M,171.5,19,Pozor,-2002,,,,,,,
Hereford,X,Angus,Bull,(N=96),M,300,6.5,Bailey,-1975,,,,
Pozor,-2002,,,,,,,,,,,,
Light,Horse,(N=53),M,452.5,26,Heavy,Horse,(N=15),M,687,30,Pozor,-2002
Elephant,F,2700,35,Hildebrandt,"(2000),",Nowak,-1999,,,,,,
African,Elephant,(N=6),M,4000,45,Hildebrandt,-1998,,,,,,
Asian,Elephant,(N=2),M,5000,52.5,Hildebrandt,-1998,,,,,,
Asian,Elephant,M,5000,48,Hildebrandt,-1998,,,,,,,
Asian,Elephant,M,5400,180,Fowler,-2006,,,,,,,
